year,district,area,n_stops,n_lines,avg_distan,tot,tot_F,tot_M,tot_foreig,n_fam,minors,working_age,seniors,stop_coverage,tot_accidents,tot_vehicles_involves,vehicle_categories,n_public_vehicles,public_accidents,fam_comp,rank_population,rank_fam_comp,rank_n_stops,rank_n_lines,rank_tot_accidents,rank_public_accidents,rank_avg_distan,rank_stop_coverage,correlation_foreigners_fam_comp,correlation_minors_tot_M,correlation_minors_tot_F,correlation_minors_seniors,correlation_minors_foreigners,correlation_tot_avg_distan,correlation_children_avg_distan,correlation_seniors_avg_distan,correlation_tot_accidents_tot_population,correlation_public_accidents_tot_population,correlation_tot_accidents_minors,correlation_public_accidents_minors,correlation_tot_accidents_fam_comp,correlation_public_accidents_fam_comp
2012,1,6380937.20411074,273,927,448.8648642917726,74952,39610,35245,8218,41689,10626.0,47783.0,16446.0,6.871342498362144,408.0,776.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",43.0,36.0,1.8,8.0,8.0,5.0,2.0,2.0,1.0,3.0,2.0,-0.0810907890511168,0.9852622796941737,0.9837202611461808,0.9502653999302902,0.8719198317331804,0.3180803992311495,0.4055363704023566,0.3184693841669012,0.15624200041591108,0.17931653341554976,0.2264121480545647,0.16822422421809446,0.33795888089101433,0.09888867644016006
2012,2,14274479.739175482,367,1044,438.7218776887988,121753,71398,62998,13093,65153,18476.0,79296.0,36624.0,6.298387226586812,314.0,597.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",22.0,20.0,1.87,4.0,7.0,2.0,1.0,6.0,4.0,4.0,4.0,-0.1289245188902967,0.9977439037386016,0.9951099437101888,0.9850281305580562,0.8928809401299512,0.8225388588171241,0.845177093148802,0.8436579057476754,0.7856056008149891,0.5885986559937157,0.6898946283206016,0.48277394303847376,0.15804985320842158,0.3715636491789242
2012,3,7808975.573327789,196,380,398.4117896522477,130988,70591,63137,17803,67760,18885.0,83469.0,31374.0,2.0766583293627328,348.0,670.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",15.0,14.0,1.94,3.0,4.0,7.0,7.0,5.0,6.0,6.0,7.0,0.2950325076411887,0.992196952190669,0.9900462946690829,0.9346660159762735,0.8337669388469924,0.9550732824108789,0.9459945436633124,0.9427547150082473,0.8646217879388912,0.6617674908098091,0.8415194975531768,0.6708170932328564,0.5360771552448895,0.47108851851096206
2012,4,6230760.772218829,128,250,295.7131750070681,81665,44309,39679,13298,41961,12389.0,53348.0,18251.0,1.3758093603161536,285.0,560.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",13.0,13.0,1.95,7.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,-0.9491997042902338,0.9734147338351942,0.9429436425360412,0.8226111559978058,0.8754956067038056,0.7358263891782885,0.4471429987005794,0.8586101632315015,0.3860757887064775,0.45855237215615113,0.23811151944161296,0.5006607344433294,-0.43601494947546177,-0.808555457900207
2012,5,16254321.252419531,316,603,503.4006219960419,134203,74091,69274,23274,68040,21702.0,89718.0,31945.0,3.358987473391033,397.0,790.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",25.0,23.0,1.98,2.0,2.0,3.0,5.0,3.0,2.0,2.0,6.0,0.18716761635362142,0.9895392301090582,0.9877387104655841,0.962002765669186,0.890812489331714,0.8353037587587395,0.8181764620825828,0.8575044120440205,0.7898042762720052,0.4211307752566774,0.7992978255678119,0.40763654600710325,0.23964936120930952,0.4806797256665472
2012,6,22420548.11960433,300,577,419.6325828708044,102253,55487,53088,24787,49941,17719.0,67470.0,23386.0,6.33592164822158,361.0,706.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",17.0,14.0,2.05,5.0,1.0,4.0,6.0,4.0,6.0,5.0,3.0,-0.1048864885409608,0.9914356117323829,0.9785030308717824,0.8418021375985202,0.9422424697304433,0.8162461469882857,0.7474692965500322,0.8530832077664647,0.8359211859065284,0.2684173762290937,0.7955472251912595,0.18374390281766026,-0.3993769843292209,-0.4266774375968363
2012,7,18710748.83619715,258,611,372.0052622278768,88742,46796,43333,20426,45908,13482.0,57445.0,19202.0,3.854131566915552,294.0,560.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",25.0,22.0,1.94,6.0,4.0,6.0,4.0,7.0,3.0,7.0,5.0,-0.3467678447729359,0.9951522036324723,0.983374189764004,0.935855784800294,0.9207290040217465,0.878737270008849,0.8599870610089994,0.8376055449065767,0.8667097734142281,,0.8795458090530996,,-0.5335699155132175,
2012,8,20961887.644029822,393,923,578.0052491013369,137485,74321,67044,21292,72082,19854.0,87417.0,34094.0,8.19838555409693,503.0,968.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",20.0,19.0,1.91,1.0,6.0,1.0,3.0,1.0,5.0,1.0,1.0,-0.2585363348246813,0.9990395698553012,0.9987435000550122,0.9904560025757868,0.9133778650363562,0.8936655262849982,0.9137616126259263,0.9423748511552439,0.9272533392916423,0.7431005221063057,0.934090046693435,0.7593471939881681,-0.03414961815991162,-0.04347326052175841
2019,1,6261486.96434018,270,1029,431.0028651292802,72709,38618,34005,6504,40556,10160.0,45032.0,17431.0,6.810695178158826,578.0,1125.0,"['', 'altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",55.0,46.0,1.8,8.0,8.0,6.0,2.0,3.0,1.0,3.0,2.0,-0.12140353190183337,0.9907853800568087,0.9905581820464434,0.9658846163420458,0.8694504109709229,0.4521357429255416,0.5146153999219989,0.4476475611369252,0.47873876474672666,0.15463464915605665,0.5549998921994486,0.16049336752624072,0.34322732400393696,-0.1256846108437434
2019,2,14156390.44888918,336,1046,421.9923652189468,117877,68126,60187,13553,64058,17216.0,74949.0,36148.0,5.454178137800352,505.0,1009.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",16.0,16.0,1.85,4.0,7.0,2.0,1.0,6.0,6.0,4.0,4.0,-0.15984660979989884,0.9967973176283087,0.9959572952045629,0.9887587994949844,0.8908248317687362,0.8380774687062738,0.8754854148774919,0.8705598577712867,0.8929347161925252,0.6982478771615388,0.8383554413637965,0.6496714953823512,0.029806461542798895,0.19057295191657425
