year,zone_stat,desc_zone,district,area,n_stops,n_lines,avg_distan,tot,tot_F,tot_M,tot_foreig,n_fam,minors,working_age,seniors,stop_coverage,tot_accidents,tot_vehicles_involves,vehicle_categories,n_public_vehicles,public_accidents
2019,09bis,Valentino,8,465675.182104,13,34,7.748474260423946,27,13,6,6,6,4.0,12.0,3.0,1.4444444444444438,33.0,64.0,"['bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico']",1.0,1.0
2019,1,Municipio,1,429260.56416105997,18,100,27.585953878406713,7340,3831,3504,896,4394,951.0,4913.0,1471.0,0.276604544816179,39.0,68.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",4.0,4.0
2019,10,Porta Nuova-San Secondo,1,370636.50067541,16,74,21.068902865129278,6620,3559,3054,792,3668,930.0,4212.0,1471.0,0.749354223657126,34.0,66.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso']",8.0,6.0
2019,11,Vanchiglia,7,466064.83940377,29,89,43.44800838574423,10623,5673,4942,929,5941,1314.0,6580.0,2721.0,0.13626516815449102,34.0,60.0,"['bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",3.0,3.0
2019,12,Borgo Dora,7,872324.34534469,22,87,37.08993710691824,13787,7060,6710,4415,7595,2074.0,8741.0,2955.0,0.349569021285929,118.0,231.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",14.0,14.0
2019,13,Parco Michelotti-Borgo Po,8,603131.54972833,22,46,37.09297693920335,5838,3202,2631,429,3397,738.0,3370.0,1725.0,0.6550515991624319,19.0,40.0,"['polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",2.0,2.0
2019,14,Motovelodromo,7,356104.51345451,17,37,24.16624737945493,3399,1848,1546,302,1894,455.0,2137.0,802.0,0.281971798835898,17.0,39.0,"['privato_moto', 'privato_vettura']",0.0,0.0
2019,15,Piazza Crimea,8,348497.09540294996,10,36,24.695178197064994,2078,1143,935,161,1091,316.0,1149.0,613.0,0.21032436219549397,25.0,55.0,"['privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",3.0,3.0
2019,16,San Donato,4,875127.4409574199,29,75,60.1429070580014,19852,10639,9202,2594,10696,2712.0,12253.0,4876.0,0.36088597408148104,86.0,174.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",6.0,4.0
2019,17,Porta Susa,3,427974.39399821,11,21,19.603074772886096,8382,4499,3878,516,4460,1179.0,5046.0,2152.0,0.048701353387668,40.0,84.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'soccorso', 'veicoli_grandi']",0.0,0.0
2019,17bis,Nuovo Tribunale,3,360406.33906315,11,18,15.137526205450733,1325,660,655,164,723,191.0,816.0,308.0,0.6930652767846619,28.0,53.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",3.0,3.0
